Country,shock_id,baseline_year,problem_type,variable,value,severity,note
BRN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BTN,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BWA,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CHE,2007,2007,incomplete_final5_baseline,rd_gdp,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CHL,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CHN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CIV,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CMR,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
COD,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
COG,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
COL,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CRI,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,rd_gdp",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CUB,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CUW,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
CYP,2007,2007,incomplete_final5_baseline,"rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
DZA,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
EAR,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ECU,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
EGY,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
EUU,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
GAB,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
GEO,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
GHA,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
GNQ,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
GTM,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
HKG,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
HND,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
HRV,2007,2007,incomplete_final5_baseline,tertiary_education_25_64,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
IDN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,rd_gdp",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
IND,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
IRN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
IRQ,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ISL,2007,2007,incomplete_final5_baseline,energy_import_dependency_raw,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ISR,2007,2007,incomplete_final5_baseline,public_debt_gdp_canonical,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
JAM,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
JOR,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
JPN,2007,2007,incomplete_final5_baseline,public_debt_gdp_canonical,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
KAZ,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
KEN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
KGZ,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
KNA,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
KOR,2007,2007,incomplete_final5_baseline,public_debt_gdp_canonical,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
LAC,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
LAO,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
LBY,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
LCA,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
LDC,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
LKA,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MAR,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MDA,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MDV,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MEX,2007,2007,incomplete_final5_baseline,public_debt_gdp_canonical,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MKD,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MLT,2007,2007,incomplete_final5_baseline,"rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MMR,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MNE,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MNG,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MOZ,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MUS,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
MYS,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
NAM,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
NER,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
NGA,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
NIC,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
NOR,2007,2007,incomplete_final5_baseline,public_debt_gdp_canonical,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
NPL,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
NZL,2007,2007,incomplete_final5_baseline,tertiary_education_25_64,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
OMN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
PAK,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
PAN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
PER,2007,2007,incomplete_final5_baseline,"rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
PHL,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
PRK,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
PRY,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
QAT,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ROU,2007,2007,incomplete_final5_baseline,tertiary_education_25_64,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
RUS,2007,2007,incomplete_final5_baseline,tertiary_education_25_64,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
RWA,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SAU,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SDN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SEN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SGP,2007,2007,incomplete_final5_baseline,"unemployment_rate,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SLV,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SMR,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SRB,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SST,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SUR,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SWZ,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
SYR,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
TCD,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
THA,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
TJK,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
TKM,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
TTO,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
TUN,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
TUR,2007,2007,incomplete_final5_baseline,public_debt_gdp_canonical,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
TWN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
UGA,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
UKR,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
URY,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
UZB,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
VCT,2007,2007,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
VEN,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
VNM,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
YEM,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ZAF,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ZMB,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ZWE,2007,2007,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
AGO,2019,2019,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ALB,2019,2019,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
AND,2019,2019,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ARB,2019,2019,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ARE,2019,2019,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ARG,2019,2019,incomplete_final5_baseline,public_debt_gdp_canonical,,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
ARM,2019,2019,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
AZE,2019,2019,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BEN,2019,2019,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BFA,2019,2019,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BGD,2019,2019,incomplete_final5_baseline,"public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BHR,2019,2019,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
BHS,2019,2019,incomplete_final5_baseline,"unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw",,exclude_from_main_poset_for_that_shock,Missing at least one final 5 ordering raw variable in this baseline year.
