target_country,shock_id,baseline_year,profile_code,layer,dimension,score_0_100,ordinal_level_1_to_5,interpretation
ITA,2007,2007,1-3-2-1-2,3,Energy security,13.003623416105148,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2007,2007,2-4-5-5-4,1,Debt capacity,48.44663866194638,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2007,2007,2-4-5-5-4,1,Employment strength,83.6932338699123,4,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2007,2007,2-4-5-5-4,1,R&D intensity,75.01278612171896,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2007,2007,2-4-5-5-4,1,Human capital,77.13898717309793,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2007,2007,2-4-5-5-4,1,Energy security,47.194218437799535,4,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2019,2019,3-3-3-5-5,1,Debt capacity,74.53368272594955,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2019,2019,3-3-3-5-5,1,Employment strength,86.11153147699758,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2019,2019,3-3-3-5-5,1,R&D intensity,35.47368736362677,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2019,2019,3-3-3-5-5,1,Human capital,100.0,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
CAN,2019,2019,3-3-3-5-5,1,Energy security,54.48646227604982,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2019,2019,3-5-5-2-2,1,Debt capacity,71.46957520091848,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2019,2019,3-5-5-2-2,1,Employment strength,95.75514527845036,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2019,2019,3-5-5-2-2,1,R&D intensity,68.99058338263042,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2019,2019,3-5-5-2-2,1,Human capital,32.62676583229808,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
DEU,2019,2019,3-5-5-2-2,1,Energy security,11.642461682241064,2,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2019,2019,1-1-4-3-3,3,Debt capacity,48.79448909299655,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2019,2019,1-1-4-3-3,3,Employment strength,75.67720944309927,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2019,2019,1-1-4-3-3,3,R&D intensity,46.38236732624888,4,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2019,2019,1-1-4-3-3,3,Human capital,51.146451516585664,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
FRA,2019,2019,1-1-4-3-3,3,Energy security,17.587817154788816,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2019,2019,1-1-3-1-1,4,Debt capacity,28.300803673937995,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2019,2019,1-1-3-1-1,4,Employment strength,70.22926755447942,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2019,2019,1-1-3-1-1,4,R&D intensity,28.046364181677674,3,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2019,2019,1-1-3-1-1,4,Human capital,9.016937042213849,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
ITA,2019,2019,1-1-3-1-1,4,Energy security,8.024234487142774,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2019,2019,1-5-5-5-5,1,Debt capacity,47.19874493174339,1,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2019,2019,1-5-5-5-5,1,Employment strength,93.74243341404356,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2019,2019,1-5-5-5-5,1,R&D intensity,69.79533248807502,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2019,2019,1-5-5-5-5,1,Human capital,75.29026170293265,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
USA,2019,2019,1-5-5-5-5,1,Energy security,32.46930200745625,5,Level 5 is strongest and level 1 is weakest within the shock-specific baseline sample.
