Country,public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw,baseline_year,final5_available_count,complete_case_final5_baseline_inputs
IRL,1,1,1,1,1,2019,5,True
IRN,0,0,0,0,1,2019,1,False
IRQ,0,0,0,0,1,2019,1,False
ISL,1,1,1,1,0,2019,4,False
ISR,0,1,1,1,1,2019,4,False
ITA,1,1,1,1,1,2019,5,True
JAM,1,0,0,0,1,2019,2,False
JOR,1,0,0,0,1,2019,2,False
JPN,0,1,1,1,1,2019,4,False
KAZ,1,0,0,0,1,2019,2,False
KEN,0,0,0,0,1,2019,1,False
KGZ,1,0,0,0,1,2019,2,False
KOR,1,1,1,1,1,2019,5,True
KWT,0,0,0,0,1,2019,1,False
LAC,1,0,0,0,1,2019,2,False
LAO,0,0,0,0,1,2019,1,False
LBN,0,0,0,0,1,2019,1,False
LBY,0,0,0,0,1,2019,1,False
LDC,0,0,0,0,1,2019,1,False
LSO,1,0,0,0,0,2019,1,False
LTU,1,1,1,1,1,2019,5,True
LUX,1,1,1,1,1,2019,5,True
LVA,1,1,1,1,1,2019,5,True
MAR,0,0,0,0,1,2019,1,False
MDA,1,0,0,0,1,2019,2,False
MEX,1,1,0,1,1,2019,4,False
MHL,1,0,0,0,0,2019,1,False
MKD,0,1,0,0,1,2019,2,False
MLT,1,1,0,0,1,2019,3,False
MMR,0,0,0,0,1,2019,1,False
MNE,0,0,0,0,1,2019,1,False
MNG,1,0,0,0,1,2019,2,False
MOZ,1,0,0,0,1,2019,2,False
MUS,1,0,0,0,0,2019,1,False
MWI,1,0,0,0,0,2019,1,False
MYS,1,0,0,0,1,2019,2,False
NAM,0,0,0,0,1,2019,1,False
NER,0,0,0,0,1,2019,1,False
NGA,0,0,0,0,1,2019,1,False
NIC,0,0,0,0,1,2019,1,False
NLD,1,1,1,1,1,2019,5,True
NOR,0,1,1,1,1,2019,4,False
NPL,1,0,0,0,1,2019,2,False
NZL,1,1,1,1,1,2019,5,True
OMN,0,0,0,0,1,2019,1,False
PAK,0,0,0,0,1,2019,1,False
PAN,0,0,0,0,1,2019,1,False
PER,1,1,0,0,1,2019,3,False
PHL,0,0,0,0,1,2019,1,False
PLW,1,0,0,0,0,2019,1,False
PNG,1,0,0,0,0,2019,1,False
POL,1,1,1,1,1,2019,5,True
PRK,0,0,0,0,1,2019,1,False
PRT,1,1,1,1,1,2019,5,True
PRY,0,0,0,0,1,2019,1,False
QAT,0,0,0,0,1,2019,1,False
ROU,1,1,1,1,1,2019,5,True
RUS,1,1,1,0,1,2019,4,False
RWA,0,0,0,0,1,2019,1,False
SAU,0,0,0,0,1,2019,1,False
SDN,0,0,0,0,1,2019,1,False
SEN,0,0,0,0,1,2019,1,False
SGP,1,0,1,0,1,2019,3,False
SLB,1,0,0,0,0,2019,1,False
SLV,1,0,0,0,1,2019,2,False
SMR,1,0,0,0,0,2019,1,False
SRB,0,0,0,0,1,2019,1,False
SSD,0,0,0,0,1,2019,1,False
SST,0,0,0,0,1,2019,1,False
SUR,0,0,0,0,1,2019,1,False
SVK,1,1,1,1,1,2019,5,True
SVN,1,1,1,1,1,2019,5,True
SWE,1,1,1,1,1,2019,5,True
SWZ,1,0,0,0,1,2019,2,False
SYR,0,0,0,0,1,2019,1,False
TCD,0,0,0,0,1,2019,1,False
THA,1,1,0,0,1,2019,3,False
TJK,0,0,0,0,1,2019,1,False
TKM,0,0,0,0,1,2019,1,False
TON,1,0,0,0,0,2019,1,False
TTO,0,0,0,0,1,2019,1,False
TUN,0,0,0,0,1,2019,1,False
TUR,1,1,1,1,1,2019,5,True
TWN,0,0,1,0,0,2019,1,False
TZA,0,0,0,0,1,2019,1,False
UGA,1,0,0,0,1,2019,2,False
UKR,1,0,0,0,1,2019,2,False
URY,1,0,0,0,1,2019,2,False
USA,1,1,1,1,1,2019,5,True
UZB,0,0,0,0,1,2019,1,False
VEN,0,0,0,0,1,2019,1,False
VNM,0,0,0,0,1,2019,1,False
YEM,0,0,0,0,1,2019,1,False
ZAF,1,1,1,1,1,2019,5,True
ZMB,1,0,0,0,1,2019,2,False
ZWE,0,0,0,0,1,2019,1,False
