target_country,shock_id,comparison_type,target_profile,other_profile,other_countries,dimension,target_level,other_level,target_minus_other,dimension_relation
DEU,2007,target_vs_dominator,2-1-4-2-3,3-5-4-4-4,NLD,Human capital,2,4,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-5-4-4-4,NLD,Energy security,3,4,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-5-4-4,SWE,Debt capacity,2,3,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-5-4-4,SWE,Employment strength,1,3,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-5-4-4,SWE,R&D intensity,4,5,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-5-4-4,SWE,Human capital,2,4,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-3-5-4-4,SWE,Energy security,3,4,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-4-3-5-5,GBR,Debt capacity,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-4-3-5-5,GBR,Employment strength,1,4,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-4-3-5-5,GBR,R&D intensity,4,3,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-4-3-5-5,GBR,Human capital,2,5,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-4-3-5-5,GBR,Energy security,3,5,-2,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-2-5-5-3,FIN,Debt capacity,2,3,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-2-5-5-3,FIN,Employment strength,1,2,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-2-5-5-3,FIN,R&D intensity,4,5,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-2-5-5-3,FIN,Human capital,2,5,-3,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,3-2-5-5-3,FIN,Energy security,3,3,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-4-3-2-4,SVN,Debt capacity,2,5,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-4-3-2-4,SVN,Employment strength,1,4,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-4-3-2-4,SVN,R&D intensity,4,3,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-4-3-2-4,SVN,Human capital,2,2,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-4-3-2-4,SVN,Energy security,3,4,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-1-3-3,LTU,Debt capacity,2,5,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-1-3-3,LTU,Employment strength,1,5,-4,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-1-3-3,LTU,R&D intensity,4,1,3,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-1-3-3,LTU,Human capital,2,3,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-1-3-3,LTU,Energy security,3,3,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-3-3-1,LUX,Debt capacity,2,5,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-3-3-1,LUX,Employment strength,1,5,-4,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-3-3-1,LUX,R&D intensity,4,3,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-3-3-1,LUX,Human capital,2,3,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-5-3-3-1,LUX,Energy security,3,1,2,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-4-5-3-2,AUT,Debt capacity,2,2,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-4-5-3-2,AUT,Employment strength,1,4,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-4-5-3-2,AUT,R&D intensity,4,5,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-4-5-3-2,AUT,Human capital,2,3,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-4-5-3-2,AUT,Energy security,3,2,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-3-3-1-5,CZE,Debt capacity,2,4,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-3-3-1-5,CZE,Employment strength,1,3,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-3-3-1-5,CZE,R&D intensity,4,3,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-3-3-1-5,CZE,Human capital,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-3-3-1-5,CZE,Energy security,3,5,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-4-2-4-1,IRL,Debt capacity,2,4,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-4-2-4-1,IRL,Employment strength,1,4,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-4-2-4-1,IRL,R&D intensity,4,2,2,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-4-2-4-1,IRL,Human capital,2,4,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-4-2-4-1,IRL,Energy security,3,1,2,target_stronger
DEU,2007,target_vs_dominator,2-1-4-2-3,2-2-4-3-3,FRA,Debt capacity,2,2,0,equal
DEU,2007,target_vs_dominator,2-1-4-2-3,2-2-4-3-3,FRA,Employment strength,1,2,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,2-2-4-3-3,FRA,R&D intensity,4,4,0,equal
DEU,2007,target_vs_dominator,2-1-4-2-3,2-2-4-3-3,FRA,Human capital,2,3,-1,target_weaker
DEU,2007,target_vs_dominator,2-1-4-2-3,2-2-4-3-3,FRA,Energy security,3,3,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-3-1-2-2,LVA,Debt capacity,2,5,-3,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-3-1-2-2,LVA,Employment strength,1,3,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-3-1-2-2,LVA,R&D intensity,4,1,3,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-3-1-2-2,LVA,Human capital,2,2,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,5-3-1-2-2,LVA,Energy security,3,2,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-4-4-1,BEL,Debt capacity,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-4-4-1,BEL,Employment strength,1,2,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-4-4-1,BEL,R&D intensity,4,4,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-4-4-1,BEL,Human capital,2,4,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-4-4-1,BEL,Energy security,3,1,2,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-3-3-1,ESP,Debt capacity,2,4,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-3-3-1,ESP,Employment strength,1,1,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-3-3-1,ESP,R&D intensity,4,3,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-3-3-1,ESP,Human capital,2,3,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-3-3-1,ESP,Energy security,3,1,2,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,3-1-1-2-4,POL,Debt capacity,2,3,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,3-1-1-2-4,POL,Employment strength,1,1,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,3-1-1-2-4,POL,R&D intensity,4,1,3,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,3-1-1-2-4,POL,Human capital,2,2,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,3-1-1-2-4,POL,Energy security,3,4,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-2-2-1-3,HUN,Debt capacity,2,2,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-2-2-1-3,HUN,Employment strength,1,2,-1,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-2-2-1-3,HUN,R&D intensity,4,2,2,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-2-2-1-3,HUN,Human capital,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,2-2-2-1-3,HUN,Energy security,3,3,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-3-2-1-2,ITA,Debt capacity,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-3-2-1-2,ITA,Employment strength,1,3,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-3-2-1-2,ITA,R&D intensity,4,2,2,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-3-2-1-2,ITA,Human capital,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-3-2-1-2,ITA,Energy security,3,2,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-1-1-2,SVK,Debt capacity,2,4,-2,target_weaker
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-1-1-2,SVK,Employment strength,1,1,0,equal
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-1-1-2,SVK,R&D intensity,4,1,3,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-1-1-2,SVK,Human capital,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,4-1-1-1-2,SVK,Energy security,3,2,1,target_stronger
DEU,2007,target_vs_dominated,2-1-4-2-3,1-1-1-2-2,GRC,Debt capacity,2,1,1,target_stronger
DEU,2007,target_vs_dominated,2-1-4-2-3,1-1-1-2-2,GRC,Employment strength,1,1,0,equal
DEU,2007,target_vs_dominated,2-1-4-2-3,1-1-1-2-2,GRC,R&D intensity,4,1,3,target_stronger
DEU,2007,target_vs_dominated,2-1-4-2-3,1-1-1-2-2,GRC,Human capital,2,2,0,equal
DEU,2007,target_vs_dominated,2-1-4-2-3,1-1-1-2-2,GRC,Energy security,3,2,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-2-1-1,PRT,Debt capacity,2,1,1,target_stronger
DEU,2007,target_vs_incomparable,2-1-4-2-3,1-2-2-1-1,PRT,Employment strength,1,2,-1,target_weaker
