Country,Year,energy_import_dependency_raw,gdp_growth,inflation_cpi,productivity_gdp_per_hour,public_debt_gdp_canonical,public_debt_gdp_eurostat,public_debt_gdp_worldbank,rd_gdp,tertiary_education_25_64,unemployment_rate,Recovery_2007,Recovery_2019,Recovery_2007_status,Recovery_2019_status,wgi_va_score,wgi_pv_score,wgi_ge_score,wgi_rq_score,wgi_rl_score,wgi_cc_score,wgi_six_dimension_mean_score,wgi_six_dimension_available_count,governance_context_score_0_100,governance_context_role,shock_id,shock_label,baseline_year,poset_temporal_design,final5_raw_variables_available,complete_case_final5_raw,gdp_growth_volatility_sd,gdp_growth_stability_score_0_100,years_available,window_start,window_end,sufficient_window_coverage,volatility_feature_role,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,final5_score_variables_available,complete_case_final5_scores
BEN,2007,41.8017950914304,,,,,,,,,,,,,,0.3699314999999999,0.4554712999999999,-0.6041193,-0.466746599999999,-0.2593314,-0.3382158,-0.1405017166666665,6.0,48.52761248847462,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,40.21611265056903,1,False
BGD,2007,15.8299464466906,,,,,,,,,,,,,,-0.507764,-1.5675758,-0.8728241,-0.8672299,-0.8842511,-1.1475412,-0.9745310166666666,6.0,28.782611714287835,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,56.32430199724334,1,False
BGR,2007,51.98949515202,,8.402534,23.9790908206293,16.3,16.3,,0.430032604,,6.878,,,,,0.7008671,0.3575005,-0.1576116,0.5972288,-0.033193,-0.061456,0.2338893,6.0,57.39103121241143,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,4,False,,,,,,,,87.68619662363456,54.16830257819656,-0.5987256662588791,,33.89752502025263,4,False
BHR,2007,-53.5280275603182,,,,7.54545632569935,,7.54545632569935,,,,,,,,-0.5923242,-0.1802755,0.3484973,0.9343915,0.2429346,0.1042366,0.14291005,6.0,55.23716759912477,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,,,,,,,,96.37988448292022,,,,99.34131604537086,2,False
BHS,2007,,,,,22.9908535609144,,22.9908535609144,,,,,,,,1.11501,0.6841231999999999,1.1305946,1.1818715,1.3896651,1.3222897,1.1372590166666667,6.0,78.77761290080083,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,81.04185346483177,,,,,1,False
BIH,2007,30.6474418437097,,,,,,,,,,,,,,0.1929178,-0.4799679,-0.7722494,-0.2740336,-0.4150683,-0.4313474,-0.3632914666666667,6.0,43.25323689252028,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,47.134235292191896,1,False
BLR,2007,84.715589734745,,,,8.9092608163614,,8.9092608163614,,,,,,,,-1.37189579999999,0.3235627,-0.9883947,-1.5355625,-1.0819694,-0.500873999999999,-0.8591889499999982,6.0,31.513246232319364,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,,,,,,,,95.02556026180596,,,,13.600235623316511,2,False
BLZ,2007,,,,,64.0974458625061,,64.0974458625061,,,,,,,,0.4951088999999999,0.1616149999999999,-0.519389299999999,-0.2546231,0.0968209,-0.2776753,-0.0496904833333332,6.0,50.67749843669193,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,40.22100708787874,,,,,1,False
BOL,2007,-180.911409918285,,,,,,,,,,,,,,0.0758027999999999,-0.632049499999999,-0.449504199999999,-0.7718798,-0.8731148,-0.480008799999999,-0.5217923833333328,6.0,39.50084986931542,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,178.3466910846839,1,False
BRA,2007,10.7554506884035,6.06987034640399,3.641273,,,,,,9.6238279,8.076,1.0,1.0,recovered,recovered,0.5861991999999999,-0.2225111,-0.3870143,-0.0432525999999999,-0.3124145,-0.2877377,-0.1111218333333333,6.0,49.22315857919612,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,3,False,1.8428700300124703,50.32094824298541,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,,38.489726475592185,,-11.427449203395785,59.471591958442914,3,False
BRB,2007,,,,,66.8016267359889,,66.8016267359889,,,,,,,,1.0542798,1.0877484,1.3271495,1.1426371,1.4525439,1.3397259,1.2340140999999998,6.0,81.06821491600961,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,37.53562389673395,,,,,1,False
BRN,2007,-539.097137952467,,,,,,,,,,,,,,-0.8301993,1.1198586,0.6480843,1.1739818,0.3784568,0.1804523999999999,0.4451057666666667,6.0,62.39141824660114,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,400.4996693871954,1,False
BTN,2007,,,,,59.811072814383,,59.811072814383,,,,,,,,-0.4488027,0.4577683999999999,0.2046584,-0.4721196,0.1928519,0.8441926999999999,0.1297581833333333,6.0,54.92580729377898,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,44.47758409693843,,,,,1,False
BWA,2007,,,,,5.9431764131185,,5.9431764131185,,,,,,,,0.5999034,1.2840151,0.5667941,0.6526476,0.7359892,0.9258834,0.7942054666666666,6.0,70.65608454401824,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,97.97102640206704,,,,,1,False
CAN,2007,-54.5900488468931,2.04990462170888,2.138384,53.5208456368105,39.1585639491399,,39.1585639491399,1.903577511,48.181564,6.152,1.0,1.0,recovered,recovered,1.5813123,1.0422531,1.820534,1.6474877,1.7329158,1.9344584,1.62649355,6.0,90.35986335582147,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,0.5834257445189897,96.06282332717258,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,64.98653033849067,63.66967674388169,50.39007991533172,100.0,100.0,5,True
CHE,2007,55.1951037752301,3.98319373649298,0.7323506,72.9906252698268,23.655829446943,,23.655829446943,,31.327906,3.641,1.0,1.0,recovered,recovered,1.647309,1.2052735,1.8757502,1.9041815,1.8270001,2.1803588,1.7733121833333334,6.0,93.83568132628336,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,4,False,1.8475974407505251,50.14925296917103,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,80.38150005268818,96.53186755660253,,51.29485517988165,31.909351156300186,4,False
CHL,2007,77.9117396112639,5.16823098530871,4.407798,26.7655397390113,,,,0.311431239,,8.434,1.0,1.0,recovered,recovered,1.3140093,0.7570082,1.2860486,1.5927258,1.2923772999999998,1.3963517,1.273086816666667,6.0,81.99323136427216,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,3,False,1.2234592403731437,72.8173867848287,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,,33.80447585394582,-4.702667061576166,,17.820101046628388,3,False
CHN,2007,7.94609861840451,14.2308380208728,4.8,,,,,1.353215428,,,0.0,0.0,no_negative_growth_in_shock_window,no_negative_growth_in_shock_window,-1.46529209999999,-0.5003284,-0.245126899999999,-0.1438419,-0.72761,-0.614178,-0.6160628833333315,6.0,37.26906844930661,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,1.9134446317744227,47.75774266486284,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,,,31.346001166012528,,61.214000660419565,2,False
CIV,2007,-12.8216856786979,,,,,,,,,,,,,,-1.1765373,-1.9248477,-1.40156179999999,-0.965976899999999,-1.4040723,-1.0556439,-1.3214399833333317,6.0,20.569809339832126,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,74.094539367716,1,False
CMR,2007,-48.7532631199927,,,,,,,,,,,,,,-0.92765,-0.3436526,-0.9545798,-0.7119493,-1.0838637,-0.8274568,-0.8081920333333333,6.0,32.72055892392916,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,96.3799246272013,1,False
COD,2007,-3.69155941016026,,,,,,,,,,,,,,-1.13855819999999,-2.0273686,-1.6286105,-1.3241062,-1.59672599999999,-1.3983526,-1.51895368333333,6.0,15.893824743832363,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,68.43187727906887,1,False
COG,2007,-892.291058082633,,,,,,,,,,,,,,-1.19781079999999,-0.8429129,-1.31165469999999,-1.08663819999999,-1.1855387,-1.1032439,-1.1212998666666618,6.0,25.307972325867777,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,619.5566421646478,1,False
COL,2007,-202.67752129592,6.73819469090975,5.544385,14.0548099933746,,,,0.183066503,,11.281,0.0,1.0,no_negative_growth_in_shock_window,recovered,-0.1246963,-1.616164,-0.1895281,0.1335010999999999,-0.439477699999999,-0.2642695,-0.4167724166666666,6.0,41.987116626536526,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,3,False,1.6471242777963313,57.43025656988975,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,,-3.45504515115824,-9.144448602365141,,191.84640949932808,3,False
CRI,2007,56.272567056396,8.21513198346369,9.357244,17.2769464706741,,,,,21.768053,4.49,1.0,1.0,recovered,recovered,1.0639641,0.8132129,0.2444248,0.6107519,0.5276824,0.4565308999999999,0.6194278333333333,6.0,66.51835880047759,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,3,False,1.9815449123693891,45.28440218918431,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,,85.42075644549142,,23.66797294315638,31.24108980977396,3,False
CUB,2007,47.9184720113528,,,,,,,,,,,,,,-1.5387505,0.4217554,-0.464055,-1.4627264,-0.778867299999999,0.4523842999999999,-0.5617099166666665,6.0,38.55583303768815,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,36.42244392308328,1,False
CUW,2007,194.839518397186,,,,,,,,,,,,,,,,,,,,,,,,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,-54.700527974947036,1,False
CYP,2007,,,,,55.7,55.7,,,,3.922,,,,,1.2178939,0.6930853,1.2334071,1.5150845,1.2944833,1.0857157,1.1732782999999998,6.0,79.63034166860588,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,,,,,,,,48.56007944389275,92.8543384373773,,,,2,False
CZE,2007,25.13008634507,5.48882595164516,2.853124,44.8732072090013,27.3,27.3,,1.296699473,13.732669,5.316,5.0,2.0,recovered,recovered,0.9560787,1.0971281,0.6145105,1.1204236,0.7260533,0.4278635999999999,0.8236762999999999,6.0,71.35378380588182,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.9613866934507995,46.0165304320248,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,76.76266137040716,74.61065305588274,29.390389885987307,0.44663183102145004,50.55619451737794,5,True
DEU,2007,60.5578292354181,2.88911741380249,2.298341,75.0604057866086,63.7,63.7,,2.419182526,24.299988,8.637,2.0,2.0,recovered,recovered,1.57531,1.0605417,1.7597094,1.5280349,1.7387655,1.6554474,1.55296815,6.0,88.61920618715561,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.730763070754355,54.392571406882254,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,40.61569016881827,31.14775552938096,68.23146618176881,30.98497562887163,28.58329615310983,5,True
DNK,2007,-26.7532599087598,0.987173815945138,1.693266,79.3694854773773,29.5,29.5,,2.509208695,30.903458,3.376,7.0,1.0,recovered,recovered,1.7382375,1.2633404,2.2040874,2.1560402,2.010769,2.3189895,1.9485773333333332,6.0,97.98494865110987,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.388859100661754,66.810213751923,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,74.57795431976167,100.0,71.3466252831917,50.06824898503602,82.73514245549566,5,True
DZA,2007,-346.120700552505,,,,,,,,,,,,,,-0.7409331,-1.0604958,-0.7517159,-0.4402714,-0.7353577,-0.479348,-0.70135365,6.0,35.249875294024946,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,280.8123481030861,1,False
EAR,2007,-44.9288650879906,,,,,,,,,,,,,,,,,,,,,,,,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,94.00796687867133,1,False
ECU,2007,-129.466711600817,,,,,,,,,,,,,,-0.0516943999999999,-0.673285599999999,-0.83636,-0.944539799999999,-0.9510888,-0.7886171,-0.7075976166666663,6.0,35.102054196292144,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,146.4398001769337,1,False
EGY,2007,-19.3303597950051,,,,85.7885338345865,,85.7885338345865,,,,,,,,-1.0421615,-0.4507884,-0.5786331,-0.179064199999999,-0.274528,-0.536828699999999,-0.510333983333333,6.0,39.772118656720046,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,,,,,,,,18.680701256617173,,,,78.1313315304683,2,False
ESP,2007,86.040683918047,3.53350013165971,2.786798,53.7219167698663,35.7,35.7,31.7331273426985,1.238223938,29.27644,8.232,8.0,2.0,recovered,recovered,1.3143608999999998,0.0389643999999999,1.1248022,1.2435889999999998,1.1737574,1.0458322,0.990217683333333,6.0,75.29652267950509,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,0.4750205981964045,100.0,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,68.42105263157895,36.44810888627143,27.36697161673024,45.36635297439316,12.778389311997874,5,True
EST,2007,25.6676732569844,7.57092119843527,6.601326,39.1653791153899,3.9,3.9,,1.058689005,33.146008,4.582,8.0,1.0,recovered,recovered,1.0412227,0.7383006,0.9948635,1.5488484,1.1225532,0.9936845,1.0732454833333331,6.0,77.26214184333904,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.2918542641989683,70.33334150211493,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,100.0,84.21672555948174,21.15455708470343,56.54896210478465,50.22277382461701,5,True
EUU,2007,60.163624388212,,,,,,,,,,,,,,,,,,,,,,,,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,28.827788811565963,1,False
FIN,2007,54.6636571657423,5.31280178224827,2.510666,72.0064017905766,36.0,36.0,,3.337273481,36.357056,6.827,8.0,1.0,recovered,recovered,1.6854044,1.5017361,1.8931493,1.7544417,1.9411196,2.3313967,1.8512079666666663,6.0,95.67980395149873,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.3856453698886169,66.92693354117628,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,68.12313803376365,54.83575448239758,100.0,65.82852372068734,32.23896352738612,5,True
FRA,2007,51.9702514233555,2.53048188351065,1.487998,77.9775332888031,65.5,65.5,,2.028152442,26.646099,7.994,2.0,2.0,recovered,recovered,1.4100222999999998,0.6512555999999999,1.5196923999999998,1.3437547,1.3042062,1.4835556,1.2854144666666667,6.0,82.28507897537398,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,0.8356815805452749,86.90111996825789,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,38.82820258192651,39.562884439209526,54.70072352512234,37.76496819897556,33.909460313319514,5,True
GAB,2007,-307.149789096444,,,,,,,,,,,,,,-0.9148736,0.1412457,-0.776776999999999,-0.4859785,-0.634752099999999,-0.964724199999999,-0.6059766166666661,6.0,37.50785303774008,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,256.641915365182,1,False
GBR,2007,21.8227003153631,2.93091133296125,2.4,69.8440837879277,93.3735852072108,,93.3735852072108,1.610902226,35.536041,5.159,5.0,2.0,recovered,recovered,1.4133656,0.6958934999999999,1.6664793,1.892217,1.5830601,1.6278157,1.4798052000000002,6.0,86.88712974284869,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,0.5538977306561953,97.1352540310579,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,11.148376159671502,76.66535793744274,40.262690424512755,63.455884233491766,52.607492487646,5,True
GEO,2007,69.4903866771496,,,,19.2040626581459,,19.2040626581459,,,,,,,,-0.0115994,-0.4938217,-0.2227139,0.4072044999999999,-0.2271036,0.0623595999999999,-0.08094575,6.0,49.93755409117463,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,,,,,,,,84.80232109419474,,,,23.0431696650172,2,False
GHA,2007,48.117386913142,,,,,,,,,,,,,,0.5927153,-0.116125499999999,0.0561228,-0.0650193999999999,0.1996048,-0.0943405,0.0954929166666668,6.0,54.1146035184907,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,36.299073463562884,1,False
GNQ,2007,-1282.71017664034,,,,,,,,,,,,,,-1.80947939999999,0.1039401,-1.4028412,-1.574244,-1.1413617,-1.3616268,-1.197602166666665,6.0,23.50157419024797,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,861.7013262922045,1,False
GRC,2007,80.6025864165749,3.50687005595141,2.895001,46.5068102204394,104.6,104.6,,0.585129016,22.893152,8.396,20.0,2.0,not_recovered_by_available_data,recovered,1.2243039999999998,0.525963,0.4958192999999999,0.8309751,0.8092929999999999,0.2848043,0.6951931166666666,6.0,68.31204348046802,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.910400966148448,47.86828584209186,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,0.0,34.30179295903676,4.768047182198515,26.919380425850665,16.15119135769017,5,True
GTM,2007,33.1901324992229,,,,21.986997531652,,21.986997531652,,,,,,,,-0.122533999999999,-0.8340833,-0.6725821,-0.3840826,-0.9222092,-0.6123079,-0.5912998499999998,6.0,37.855314175131646,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,,,,,,,,82.03873134890566,,,,45.55721460763152,2,False
HKG,2007,193.806449434979,,,,,,,,,,,,,,0.5691398,1.1977205,1.6859841999999998,2.1386548,1.4628457,1.6772641,1.455268183333333,6.0,86.30623478738421,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,-54.059800752213384,1,False
HND,2007,53.2840752211702,,,,,,,,,,,,,,-0.2510481,-0.4582098,-0.613212099999999,-0.240922,-0.8550165,-0.927026799999999,-0.5575725499999997,6.0,38.65378200427294,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,1,False,,,,,,,,,,,,33.094604089842626,1,False
HRV,2007,52.4772984503389,,2.875,38.6895685716879,37.1,37.1,,0.783383977,,9.909,,,,,0.657198,0.777978,0.3753871,0.3734092,0.1519812999999999,0.1000877,0.4060068833333333,6.0,61.465782322675565,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,4,False,,,,,,,,67.03078450844092,14.500719801073142,11.628227427804578,,33.59498098494983,4,False
HUN,2007,60.7501538278145,0.332354337185429,7.958745,38.9589185419882,65.6,65.6,69.6770160641219,0.954878882,18.048761,7.406,5.0,1.0,recovered,recovered,1.0577711,0.7828904,0.4939080999999999,1.2913863,0.8935867,0.5332085,0.8421251833333333,6.0,71.79054689765755,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,5,True,1.7011546564320172,55.46792218259567,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,38.72889771598808,47.25821227588012,17.56243433777991,12.91964427241276,28.464013117361407,5,True
IDN,2007,-90.7961529492001,6.34502224454879,6.406562,,,,,,6.8957992,9.428,0.0,1.0,no_negative_growth_in_shock_window,recovered,0.0678583,-0.8635335,-0.4571356,-0.2282939,-0.626456999999999,-0.703207999999999,-0.4684616166666663,6.0,40.76341466064984,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,3,False,0.6737129338733922,92.78367443212382,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,,20.795707368145514,,-19.311140263635597,122.4556514387159,3,False
IND,2007,27.0601259049498,9.80136032617434,6.372881,,57.4975363892468,,57.4975363892468,,,,0.0,1.0,no_negative_growth_in_shock_window,recovered,0.5529107999999999,-0.8184973,-0.0160503,-0.2088541,0.1942209,-0.327370999999999,-0.1039401666666665,6.0,49.39317900161208,contextual_or_sensitivity_only_not_final_ordering,2007,Global Financial Crisis,2007,single_pre_shock_cross_section,2,False,2.19657971544142,37.47453301579756,6.0,2002.0,2007.0,True,diagnostic_or_sensitivity_only_not_final_ordering,46.77503834235671,,,,49.359150629498494,2,False
