Country,dominates_count,dominated_by_count,is_frontier,shock_id,baseline_year,epsilon,is_valid_partial_order
FRA,2,3,False,2019,2019,0.0,True
GBR,1,1,False,2019,2019,0.0,True
GRC,0,15,False,2019,2019,0.0,True
HRV,0,8,False,2019,2019,0.0,True
HUN,1,0,True,2019,2019,0.0,True
IRL,0,0,True,2019,2019,0.0,True
ITA,0,16,False,2019,2019,0.0,True
KOR,1,0,True,2019,2019,0.0,True
LTU,0,1,False,2019,2019,0.0,True
LUX,0,0,True,2019,2019,0.0,True
LVA,0,2,False,2019,2019,0.0,True
NLD,4,1,False,2019,2019,0.0,True
NZL,8,0,True,2019,2019,0.0,True
POL,3,0,True,2019,2019,0.0,True
PRT,0,11,False,2019,2019,0.0,True
ROU,0,0,True,2019,2019,0.0,True
SVK,0,6,False,2019,2019,0.0,True
SVN,4,0,True,2019,2019,0.0,True
SWE,4,0,True,2019,2019,0.0,True
TUR,0,4,False,2019,2019,0.0,True
USA,4,0,True,2019,2019,0.0,True
ZAF,0,2,False,2019,2019,0.0,True
AUS,8,0,True,2019,2019,0.05,True
AUT,5,2,False,2019,2019,0.05,True
BEL,4,3,False,2019,2019,0.05,True
BGR,2,2,False,2019,2019,0.05,True
CAN,8,0,True,2019,2019,0.05,True
CHE,20,0,True,2019,2019,0.05,True
COL,0,1,False,2019,2019,0.05,True
CZE,6,0,True,2019,2019,0.05,True
DEU,5,1,False,2019,2019,0.05,True
DNK,14,1,False,2019,2019,0.05,True
ESP,1,14,False,2019,2019,0.05,True
EST,14,0,True,2019,2019,0.05,True
FIN,6,2,False,2019,2019,0.05,True
FRA,3,5,False,2019,2019,0.05,True
GBR,1,1,False,2019,2019,0.05,True
GRC,0,20,False,2019,2019,0.05,True
HRV,0,14,False,2019,2019,0.05,True
HUN,3,10,False,2019,2019,0.05,True
IRL,3,3,False,2019,2019,0.05,True
ITA,0,20,False,2019,2019,0.05,True
KOR,10,0,True,2019,2019,0.05,True
LTU,1,4,False,2019,2019,0.05,True
LUX,0,0,True,2019,2019,0.05,True
LVA,1,5,False,2019,2019,0.05,True
NLD,6,3,False,2019,2019,0.05,True
NZL,11,2,False,2019,2019,0.05,True
POL,6,3,False,2019,2019,0.05,True
PRT,1,17,False,2019,2019,0.05,True
ROU,0,5,False,2019,2019,0.05,True
SVK,0,13,False,2019,2019,0.05,True
SVN,5,2,False,2019,2019,0.05,True
SWE,11,0,True,2019,2019,0.05,True
TUR,0,7,False,2019,2019,0.05,True
USA,7,0,True,2019,2019,0.05,True
ZAF,0,2,False,2019,2019,0.05,True
AUS,13,0,True,2019,2019,0.1,False
AUT,8,6,False,2019,2019,0.1,False
BEL,4,6,False,2019,2019,0.1,False
BGR,3,5,False,2019,2019,0.1,False
CAN,13,0,True,2019,2019,0.1,False
CHE,26,1,False,2019,2019,0.1,False
COL,1,1,False,2019,2019,0.1,False
CZE,8,2,False,2019,2019,0.1,False
DEU,9,4,False,2019,2019,0.1,False
DNK,19,2,False,2019,2019,0.1,False
ESP,1,16,False,2019,2019,0.1,False
EST,16,0,True,2019,2019,0.1,False
FIN,11,2,False,2019,2019,0.1,False
FRA,4,7,False,2019,2019,0.1,False
GBR,1,2,False,2019,2019,0.1,False
GRC,0,22,False,2019,2019,0.1,False
HRV,2,20,False,2019,2019,0.1,False
HUN,4,14,False,2019,2019,0.1,False
IRL,8,7,False,2019,2019,0.1,False
ITA,0,23,False,2019,2019,0.1,False
KOR,15,0,True,2019,2019,0.1,False
LTU,7,8,False,2019,2019,0.1,False
LUX,5,1,False,2019,2019,0.1,False
LVA,2,9,False,2019,2019,0.1,False
NLD,13,6,False,2019,2019,0.1,False
NZL,13,3,False,2019,2019,0.1,False
POL,9,9,False,2019,2019,0.1,False
PRT,1,22,False,2019,2019,0.1,False
ROU,0,8,False,2019,2019,0.1,False
SVK,1,18,False,2019,2019,0.1,False
SVN,5,9,False,2019,2019,0.1,False
SWE,19,1,False,2019,2019,0.1,False
TUR,0,10,False,2019,2019,0.1,False
USA,7,0,True,2019,2019,0.1,False
ZAF,0,4,False,2019,2019,0.1,False
AUS,17,0,True,2019,2019,0.15,False
AUT,11,6,False,2019,2019,0.15,False
BEL,5,6,False,2019,2019,0.15,False
BGR,7,10,False,2019,2019,0.15,False
CAN,19,0,True,2019,2019,0.15,False
CHE,27,3,False,2019,2019,0.15,False
COL,1,1,False,2019,2019,0.15,False
CZE,8,8,False,2019,2019,0.15,False
DEU,12,6,False,2019,2019,0.15,False
DNK,24,3,False,2019,2019,0.15,False
ESP,1,19,False,2019,2019,0.15,False
EST,20,2,False,2019,2019,0.15,False
FIN,17,4,False,2019,2019,0.15,False
FRA,4,13,False,2019,2019,0.15,False
GBR,2,4,False,2019,2019,0.15,False
GRC,0,27,False,2019,2019,0.15,False
HRV,4,21,False,2019,2019,0.15,False
HUN,6,19,False,2019,2019,0.15,False
IRL,13,9,False,2019,2019,0.15,False
ITA,0,26,False,2019,2019,0.15,False
KOR,24,0,True,2019,2019,0.15,False
LTU,14,11,False,2019,2019,0.15,False
LUX,9,1,False,2019,2019,0.15,False
LVA,6,13,False,2019,2019,0.15,False
NLD,16,8,False,2019,2019,0.15,False
NZL,17,8,False,2019,2019,0.15,False
POL,11,17,False,2019,2019,0.15,False
PRT,2,25,False,2019,2019,0.15,False
ROU,1,16,False,2019,2019,0.15,False
SVK,5,22,False,2019,2019,0.15,False
SVN,9,12,False,2019,2019,0.15,False
SWE,27,2,False,2019,2019,0.15,False
TUR,1,16,False,2019,2019,0.15,False
USA,7,2,False,2019,2019,0.15,False
ZAF,0,7,False,2019,2019,0.15,False
AUS,20,0,True,2019,2019,0.2,False
AUT,15,8,False,2019,2019,0.2,False
BEL,11,7,False,2019,2019,0.2,False
BGR,11,12,False,2019,2019,0.2,False
CAN,21,0,True,2019,2019,0.2,False
CHE,29,3,False,2019,2019,0.2,False
COL,3,1,False,2019,2019,0.2,False
CZE,11,12,False,2019,2019,0.2,False
DEU,14,6,False,2019,2019,0.2,False
DNK,29,6,False,2019,2019,0.2,False
ESP,2,20,False,2019,2019,0.2,False
EST,20,4,False,2019,2019,0.2,False
FIN,25,6,False,2019,2019,0.2,False
FRA,8,15,False,2019,2019,0.2,False
GBR,2,8,False,2019,2019,0.2,False
GRC,0,29,False,2019,2019,0.2,False
HRV,5,27,False,2019,2019,0.2,False
HUN,9,24,False,2019,2019,0.2,False
IRL,15,12,False,2019,2019,0.2,False
ITA,1,30,False,2019,2019,0.2,False
KOR,28,0,True,2019,2019,0.2,False
LTU,15,13,False,2019,2019,0.2,False
LUX,12,6,False,2019,2019,0.2,False
LVA,13,18,False,2019,2019,0.2,False
NLD,21,11,False,2019,2019,0.2,False
NZL,20,13,False,2019,2019,0.2,False
POL,15,20,False,2019,2019,0.2,False
PRT,2,27,False,2019,2019,0.2,False
ROU,3,20,False,2019,2019,0.2,False
SVK,7,24,False,2019,2019,0.2,False
SVN,15,16,False,2019,2019,0.2,False
SWE,30,4,False,2019,2019,0.2,False
TUR,1,21,False,2019,2019,0.2,False
USA,9,4,False,2019,2019,0.2,False
ZAF,0,15,False,2019,2019,0.2,False
