Country,complete_final5_2007,complete_final5_2019,coverage_decision_recommendation,reason
RWA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SAU,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SDN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SEN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SGP,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SLB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SLV,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SMR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SRB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SSD,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SST,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SUR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SWZ,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
SYR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
TCD,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
THA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
TJK,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
TKM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
TON,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
TTO,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
TUN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
TWN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
TZA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
UGA,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
UKR,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
URY,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
UZB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
VCT,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
VEN,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
VNM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
YEM,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ZMB,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
ZWE,False,False,drop_or_exclude_from_main_poset,Incomplete final 5 ordering-variable coverage in both baseline years.
AUT,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
BEL,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
CAN,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
CZE,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
DEU,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
DNK,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
ESP,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
EST,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
FIN,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
FRA,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
GBR,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
GRC,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
HUN,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
IRL,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
ITA,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
LTU,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
LUX,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
LVA,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
NLD,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
POL,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
PRT,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
SVK,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
SVN,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
SWE,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
USA,True,True,keep_for_both_shocks,Complete final 5 ordering-variable coverage in both 2007 and 2019.
AUS,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
BGR,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
CHE,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
COL,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
HRV,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
KOR,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
NZL,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
ROU,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
TUR,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
ZAF,False,True,review_or_keep_for_one_shock_only,Complete final 5 ordering-variable coverage in only one baseline year.
