Country,energy_import_dependency_raw,gdp_growth,inflation_cpi,productivity_gdp_per_hour,public_debt_gdp_canonical,public_debt_gdp_eurostat,public_debt_gdp_worldbank,rd_gdp,tertiary_education_25_64,unemployment_rate,final5_ordering_variables_present,complete_any_year_final5_ordering,validation_variables_present,complete_any_year_validation_variables,broader_core_variables_present
GTM,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
IRQ,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
JAM,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
JOR,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
KAZ,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
KGZ,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
KHM,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
LAC,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
LKA,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
MAR,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
MDA,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
MKD,1,0,0,0,0,0,0,0,0,1,2,False,1,False,2
MNG,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
MOZ,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
MYS,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
NAM,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
NPL,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
PHL,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
SLV,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
SWZ,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
TTO,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
TUN,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
UGA,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
UKR,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
URY,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
ZMB,1,0,0,0,1,0,1,0,0,0,2,False,1,False,2
AGO,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
AND,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
ARB,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
BEN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
BFA,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
BHS,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
BLZ,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
BOL,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
BRB,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
BRN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
BTN,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
CIV,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
CMR,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
CUB,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
CUW,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
DOM,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
DZA,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
EAR,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
ECU,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
ERI,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
EUU,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
FSM,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
GAB,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
GHA,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
GNQ,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
HKG,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
HND,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
HPC,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
IRN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
KEN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
KNA,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
KWT,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
LAO,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
LBN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
LBY,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
LCA,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
LDC,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
LSO,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
MDG,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
MDV,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
MHL,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
MMR,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
MNE,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
MUS,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
MWI,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
NER,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
NGA,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
NIC,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
OMN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
OSS,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
PAK,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
PAN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
PLW,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
PNG,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
PRK,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
PRY,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
QAT,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
RWA,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
SAU,1,0,1,0,0,0,0,0,0,0,1,False,1,False,2
SDN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
SEN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
SLB,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
SMR,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
SOM,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
SRB,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
SSD,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
SST,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
SUR,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
SYC,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
SYR,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
TCD,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
TGO,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
TJK,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
TKM,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
TON,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
TWN,0,0,0,0,0,0,0,1,0,0,1,False,0,False,1
TZA,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
UZB,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
VCT,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
VEN,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
VNM,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
VUT,0,0,0,0,1,0,1,0,0,0,1,False,1,False,1
YEM,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
ZWE,1,0,0,0,0,0,0,0,0,0,1,False,0,False,1
