Country,baseline_year,complete_case_final5_baseline,final5_variables_present,final5_variables_missing,public_debt_gdp_canonical,unemployment_rate,rd_gdp,tertiary_education_25_64,energy_import_dependency_raw
ZAF,2019,True,5,0,1,1,1,1,1
ARG,2019,False,4,1,0,1,1,1,1
BRA,2019,False,4,1,1,1,0,1,1
ISL,2019,False,4,1,1,1,1,1,0
ISR,2019,False,4,1,0,1,1,1,1
JPN,2019,False,4,1,0,1,1,1,1
MEX,2019,False,4,1,1,1,0,1,1
NOR,2019,False,4,1,0,1,1,1,1
RUS,2019,False,4,1,1,1,1,0,1
CHL,2019,False,3,2,0,1,1,0,1
CRI,2019,False,3,2,0,1,0,1,1
IDN,2019,False,3,2,0,1,0,1,1
IND,2019,False,3,2,0,1,0,1,1
MLT,2019,False,3,2,1,1,0,0,1
PER,2019,False,3,2,1,1,0,0,1
SGP,2019,False,3,2,1,0,1,0,1
THA,2019,False,3,2,1,1,0,0,1
ALB,2019,False,2,3,1,0,0,0,1
ARM,2019,False,2,3,1,0,0,0,1
BHR,2019,False,2,3,1,0,0,0,1
BIH,2019,False,2,3,1,0,0,0,1
BLR,2019,False,2,3,1,0,0,0,1
BWA,2019,False,2,3,1,0,0,0,1
CHN,2019,False,2,3,0,0,1,0,1
CYP,2019,False,2,3,1,1,0,0,0
ETH,2019,False,2,3,1,0,0,0,1
GEO,2019,False,2,3,1,0,0,0,1
JAM,2019,False,2,3,1,0,0,0,1
JOR,2019,False,2,3,1,0,0,0,1
KAZ,2019,False,2,3,1,0,0,0,1
KGZ,2019,False,2,3,1,0,0,0,1
LAC,2019,False,2,3,1,0,0,0,1
MDA,2019,False,2,3,1,0,0,0,1
MKD,2019,False,2,3,0,1,0,0,1
MNG,2019,False,2,3,1,0,0,0,1
MOZ,2019,False,2,3,1,0,0,0,1
MYS,2019,False,2,3,1,0,0,0,1
NPL,2019,False,2,3,1,0,0,0,1
SLV,2019,False,2,3,1,0,0,0,1
SWZ,2019,False,2,3,1,0,0,0,1
UGA,2019,False,2,3,1,0,0,0,1
UKR,2019,False,2,3,1,0,0,0,1
URY,2019,False,2,3,1,0,0,0,1
ZMB,2019,False,2,3,1,0,0,0,1
AGO,2019,False,1,4,0,0,0,0,1
AND,2019,False,1,4,1,0,0,0,0
ARB,2019,False,1,4,0,0,0,0,1
ARE,2019,False,1,4,0,0,0,0,1
AZE,2019,False,1,4,0,0,0,0,1
BEN,2019,False,1,4,0,0,0,0,1
BFA,2019,False,1,4,1,0,0,0,0
BGD,2019,False,1,4,0,0,0,0,1
BHS,2019,False,1,4,1,0,0,0,0
BOL,2019,False,1,4,0,0,0,0,1
BRN,2019,False,1,4,0,0,0,0,1
BTN,2019,False,1,4,1,0,0,0,0
CIV,2019,False,1,4,0,0,0,0,1
CMR,2019,False,1,4,0,0,0,0,1
COD,2019,False,1,4,0,0,0,0,1
COG,2019,False,1,4,0,0,0,0,1
CUB,2019,False,1,4,0,0,0,0,1
DOM,2019,False,1,4,0,0,0,0,1
DZA,2019,False,1,4,0,0,0,0,1
EAR,2019,False,1,4,0,0,0,0,1
ECU,2019,False,1,4,0,0,0,0,1
EGY,2019,False,1,4,0,0,0,0,1
EUU,2019,False,1,4,0,0,0,0,1
FSM,2019,False,1,4,1,0,0,0,0
GAB,2019,False,1,4,0,0,0,0,1
GHA,2019,False,1,4,0,0,0,0,1
GNQ,2019,False,1,4,0,0,0,0,1
GTM,2019,False,1,4,0,0,0,0,1
HKG,2019,False,1,4,0,0,0,0,1
HND,2019,False,1,4,0,0,0,0,1
HPC,2019,False,1,4,0,0,0,0,1
IRN,2019,False,1,4,0,0,0,0,1
IRQ,2019,False,1,4,0,0,0,0,1
KEN,2019,False,1,4,0,0,0,0,1
KWT,2019,False,1,4,0,0,0,0,1
LAO,2019,False,1,4,0,0,0,0,1
LBN,2019,False,1,4,0,0,0,0,1
LBY,2019,False,1,4,0,0,0,0,1
LDC,2019,False,1,4,0,0,0,0,1
LSO,2019,False,1,4,1,0,0,0,0
MAR,2019,False,1,4,0,0,0,0,1
MHL,2019,False,1,4,1,0,0,0,0
MMR,2019,False,1,4,0,0,0,0,1
MNE,2019,False,1,4,0,0,0,0,1
MUS,2019,False,1,4,1,0,0,0,0
MWI,2019,False,1,4,1,0,0,0,0
NAM,2019,False,1,4,0,0,0,0,1
NER,2019,False,1,4,0,0,0,0,1
NGA,2019,False,1,4,0,0,0,0,1
NIC,2019,False,1,4,0,0,0,0,1
OMN,2019,False,1,4,0,0,0,0,1
PAK,2019,False,1,4,0,0,0,0,1
PAN,2019,False,1,4,0,0,0,0,1
PHL,2019,False,1,4,0,0,0,0,1
PLW,2019,False,1,4,1,0,0,0,0
PNG,2019,False,1,4,1,0,0,0,0
PRK,2019,False,1,4,0,0,0,0,1
PRY,2019,False,1,4,0,0,0,0,1
QAT,2019,False,1,4,0,0,0,0,1
RWA,2019,False,1,4,0,0,0,0,1
SAU,2019,False,1,4,0,0,0,0,1
SDN,2019,False,1,4,0,0,0,0,1
SEN,2019,False,1,4,0,0,0,0,1
SLB,2019,False,1,4,1,0,0,0,0
SMR,2019,False,1,4,1,0,0,0,0
SRB,2019,False,1,4,0,0,0,0,1
SSD,2019,False,1,4,0,0,0,0,1
SST,2019,False,1,4,0,0,0,0,1
SUR,2019,False,1,4,0,0,0,0,1
SYR,2019,False,1,4,0,0,0,0,1
TCD,2019,False,1,4,0,0,0,0,1
TJK,2019,False,1,4,0,0,0,0,1
TKM,2019,False,1,4,0,0,0,0,1
TON,2019,False,1,4,1,0,0,0,0
TTO,2019,False,1,4,0,0,0,0,1
TUN,2019,False,1,4,0,0,0,0,1
TWN,2019,False,1,4,0,0,1,0,0
TZA,2019,False,1,4,0,0,0,0,1
UZB,2019,False,1,4,0,0,0,0,1
VEN,2019,False,1,4,0,0,0,0,1
VNM,2019,False,1,4,0,0,0,0,1
YEM,2019,False,1,4,0,0,0,0,1
ZWE,2019,False,1,4,0,0,0,0,1
