Country,variable,years_available,min_year,max_year,shock_id,window_start,window_end,expected_year_count,coverage_rate_in_window
COL,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
COL,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
COL,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
COL,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
COL,public_debt_gdp_canonical,1,2003,2003,2007,2002,2007,6,0.16666666666666666
COL,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
COL,unemployment_rate,5,2002,2007,2007,2002,2007,6,0.8333333333333334
CRI,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
CRI,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
CRI,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
CRI,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
CRI,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
CRI,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
CUB,energy_import_dependency_raw,2,2006,2007,2007,2002,2007,6,0.3333333333333333
CUW,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
CYP,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
CYP,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
CZE,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
CZE,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
CZE,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
CZE,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
CZE,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
CZE,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
CZE,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
CZE,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
DEU,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
DEU,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
DEU,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
DEU,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
DEU,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
DEU,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
DEU,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
DEU,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
DNK,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
DNK,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
DNK,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
DNK,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
DNK,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
DNK,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
DNK,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
DNK,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
DZA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
EAR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ECU,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
EGY,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
EGY,public_debt_gdp_canonical,1,2007,2007,2007,2002,2007,6,0.16666666666666666
ERI,energy_import_dependency_raw,1,2004,2004,2007,2002,2007,6,0.16666666666666666
ESP,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ESP,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
ESP,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
ESP,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
ESP,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
ESP,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
ESP,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
ESP,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
EST,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
EST,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
EST,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
EST,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
EST,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
EST,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
EST,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
EST,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
EUU,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
FIN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
FIN,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
FIN,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
FIN,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
FIN,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
FIN,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
FIN,tertiary_education_25_64,5,2003,2007,2007,2002,2007,6,0.8333333333333334
FIN,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
FRA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
FRA,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
FRA,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
FRA,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
FRA,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
FRA,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
FRA,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
FRA,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
GAB,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
GBR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
GBR,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
GBR,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
GBR,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
GBR,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
GBR,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
GBR,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
GBR,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
GEO,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
GEO,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
GHA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
GNQ,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
GRC,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
GRC,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
GRC,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
GRC,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
GRC,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
GRC,rd_gdp,5,2003,2007,2007,2002,2007,6,0.8333333333333334
GRC,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
GRC,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
GTM,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
GTM,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
HKG,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
HND,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
HPC,energy_import_dependency_raw,2,2004,2005,2007,2002,2007,6,0.3333333333333333
HRV,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
HRV,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
HRV,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
HRV,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
HRV,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
HRV,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
HUN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
HUN,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
HUN,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
HUN,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
HUN,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
HUN,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
HUN,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
HUN,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
IDN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
IDN,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
IDN,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
IDN,public_debt_gdp_canonical,2,2002,2003,2007,2002,2007,6,0.3333333333333333
IDN,tertiary_education_25_64,4,2004,2007,2007,2002,2007,6,0.6666666666666666
IDN,unemployment_rate,5,2002,2007,2007,2002,2007,6,0.8333333333333334
IND,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
IND,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
IND,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
IND,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
IND,unemployment_rate,2,2005,2006,2007,2002,2007,6,0.3333333333333333
IRL,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
IRL,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
IRL,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
IRL,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
IRL,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
IRL,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
IRL,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
IRL,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
IRN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
IRQ,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ISL,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
ISL,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
ISL,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
ISL,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
ISL,rd_gdp,5,2002,2007,2007,2002,2007,6,0.8333333333333334
ISL,tertiary_education_25_64,5,2003,2007,2007,2002,2007,6,0.8333333333333334
ISL,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
ISR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ISR,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
ISR,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
ISR,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
ISR,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
ISR,tertiary_education_25_64,4,2002,2007,2007,2002,2007,6,0.6666666666666666
ISR,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
ITA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
ITA,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
ITA,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
ITA,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
ITA,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
ITA,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
ITA,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
ITA,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
JAM,energy_import_dependency_raw,3,2002,2004,2007,2002,2007,6,0.5
JAM,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
JOR,energy_import_dependency_raw,4,2003,2007,2007,2002,2007,6,0.6666666666666666
JOR,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
JPN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
JPN,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
JPN,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
JPN,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
JPN,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
JPN,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
JPN,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
KAZ,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
KEN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
KGZ,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
KNA,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
KOR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
KOR,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
KOR,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
KOR,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
KOR,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
KOR,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
KWT,energy_import_dependency_raw,3,2002,2004,2007,2002,2007,6,0.5
LAC,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
LAO,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
LBY,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
LCA,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
LDC,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
LKA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
LKA,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
LTU,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
LTU,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
LTU,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
LTU,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
LTU,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
LTU,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
LTU,tertiary_education_25_64,3,2005,2007,2007,2002,2007,6,0.5
LTU,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
LUX,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
LUX,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
LUX,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
LUX,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
LUX,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
LUX,rd_gdp,5,2003,2007,2007,2002,2007,6,0.8333333333333334
LUX,tertiary_education_25_64,3,2005,2007,2007,2002,2007,6,0.5
LUX,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
LVA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
LVA,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
LVA,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
LVA,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
LVA,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
LVA,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
LVA,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
LVA,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
MAR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
MAR,public_debt_gdp_canonical,4,2002,2007,2007,2002,2007,6,0.6666666666666666
MDA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
MDA,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
MDG,energy_import_dependency_raw,4,2002,2005,2007,2002,2007,6,0.6666666666666666
MDV,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
MEX,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
MEX,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
MEX,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
MEX,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
MEX,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
MEX,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
MEX,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
MKD,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
MKD,unemployment_rate,2,2006,2007,2007,2002,2007,6,0.3333333333333333
MLT,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
MLT,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
MMR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
MNE,energy_import_dependency_raw,3,2005,2007,2007,2002,2007,6,0.5
MNG,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
MOZ,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
MUS,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
MYS,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
MYS,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
NAM,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
NAM,public_debt_gdp_canonical,1,2007,2007,2007,2002,2007,6,0.16666666666666666
NER,energy_import_dependency_raw,4,2004,2007,2007,2002,2007,6,0.6666666666666666
NGA,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
NIC,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
NLD,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
NLD,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
NLD,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
NLD,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
NLD,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
NLD,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
NLD,tertiary_education_25_64,6,2002,2007,2007,2002,2007,6,1.0
NLD,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
NOR,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
NOR,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
NOR,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
NOR,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
NOR,rd_gdp,6,2002,2007,2007,2002,2007,6,1.0
NOR,tertiary_education_25_64,3,2005,2007,2007,2002,2007,6,0.5
NOR,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
NPL,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
NPL,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
NZL,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
NZL,gdp_growth,6,2002,2007,2007,2002,2007,6,1.0
NZL,inflation_cpi,6,2002,2007,2007,2002,2007,6,1.0
NZL,productivity_gdp_per_hour,6,2002,2007,2007,2002,2007,6,1.0
NZL,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
NZL,rd_gdp,3,2003,2007,2007,2002,2007,6,0.5
NZL,unemployment_rate,6,2002,2007,2007,2002,2007,6,1.0
OMN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
PAK,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
PAN,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
PER,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
PER,public_debt_gdp_canonical,2,2006,2007,2007,2002,2007,6,0.3333333333333333
PER,unemployment_rate,4,2004,2007,2007,2002,2007,6,0.6666666666666666
PHL,energy_import_dependency_raw,6,2002,2007,2007,2002,2007,6,1.0
PHL,public_debt_gdp_canonical,6,2002,2007,2007,2002,2007,6,1.0
PNG,public_debt_gdp_canonical,1,2002,2002,2007,2002,2007,6,0.16666666666666666
